ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,LOCATION_ID,TIME_ID,PRODUCT_ID,CUSTOMER_ID
10245,34,100.0,9,6120.34,L35,T39,P2,C35
10258,32,100.0,6,7680.64,L36,T40,P2,C36
10270,21,100.0,9,4905.39,L21,T41,P2,C21
10280,34,100.0,2,8014.82,L37,T42,P2,C37
10291,37,100.0,11,7136.19,L38,T43,P2,C38
10304,47,100.0,6,10172.7,L39,T44,P2,C39
10312,48,100.0,3,11623.7,L40,T45,P2,C40
10322,40,100.0,1,6000.4,L41,T46,P2,C41
10333,26,100.0,3,3003.0,L9,T47,P2,C9
10347,30,100.0,1,3944.7,L11,T48,P2,C11
10357,32,100.0,10,5691.84,L40,T49,P2,C40
10369,41,100.0,2,4514.92,L42,T50,P2,C42
10381,36,100.0,3,8254.8,L5,T51,P2,C5
10391,24,100.0,4,2416.56,L43,T52,P2,C43
10411,23,100.0,9,4140.23,L44,T53,P2,C44
10424,50,100.0,6,12001.0,L24,T54,P2,C24
10107,39,99.91,5,3896.49,L1,T1,P3,C1
10120,29,96.34,3,2793.86,L11,T55,P3,C11
10134,27,100.0,5,3307.77,L3,T3,P3,C3
10145,37,100.0,9,5192.95,L4,T4,P3,C4
10159,37,100.0,17,5016.83,L5,T5,P3,C5
10168,27,100.0,4,3660.93,L6,T6,P3,C6
10180,42,100.0,12,4695.6,L7,T7,P3,C7
10188,38,96.34,4,3660.92,L8,T8,P3,C8
10201,24,100.0,5,3025.92,L9,T9,P3,C9
10210,23,100.0,2,3009.09,L45,T56,P3,C45
10223,47,100.0,4,5422.39,L11,T11,P3,C11
10236,22,100.0,1,2852.08,L46,T57,P3,C46
10251,44,100.0,5,5756.52,L13,T13,P3,C13
10263,40,100.0,5,4472.0,L14,T14,P3,C14
10275,22,100.0,4,2904.44,L15,T15,P3,C15
10285,47,100.0,9,6484.59,L16,T16,P3,C16
10298,39,96.34,1,3757.26,L47,T58,P3,C47
10308,34,100.0,2,4043.96,L48,T18,P3,C48
10318,45,100.0,4,5566.5,L19,T19,P3,C19
10329,20,100.0,2,3176.0,L1,T20,P3,C1
10339,40,68.92,4,2756.8,L36,T59,P3,C36
10361,26,51.15,8,1329.9,L21,T22,P3,C21
10374,39,100.0,5,5288.01,L29,T60,P3,C29
10388,50,44.51,5,2225.5,L22,T24,P3,C22
10402,45,100.0,1,5833.8,L10,T61,P3,C10
10417,45,100.0,5,5887.35,L24,T26,P3,C24
10107,27,100.0,4,6065.55,L1,T1,P4,C1
10120,46,100.0,2,9264.86,L11,T55,P4,C11
10134,31,100.0,4,7023.98,L3,T3,P4,C3
10145,33,100.0,8,5176.38,L4,T4,P4,C4
10159,22,100.0,16,4132.7,L5,T5,P4,C5
10168,20,100.0,3,4183.0,L6,T6,P4,C6
10180,41,100.0,11,8892.9,L7,T7,P4,C7
10188,45,100.0,3,8714.7,L8,T8,P4,C8
10201,49,100.0,4,8065.89,L9,T9,P4,C9
10210,34,100.0,1,6123.4,L45,T56,P4,C45
10223,49,100.0,3,9774.03,L11,T11,P4,C11
10237,39,100.0,9,7023.9,L12,T12,P4,C12
10251,43,100.0,4,7078.23,L13,T13,P4,C13
10263,41,100.0,4,8336.94,L14,T14,P4,C14
10275,36,100.0,3,6901.92,L15,T15,P4,C15
10285,27,100.0,8,5438.07,L16,T16,P4,C16
10299,29,100.0,11,6683.34,L17,T17,P4,C17
10308,20,100.0,1,4570.4,L48,T18,P4,C48
10318,37,100.0,3,7667.14,L19,T19,P4,C19
10329,26,100.0,3,5868.2,L1,T20,P4,C1
10339,39,76.67,3,2990.13,L36,T59,P4,C36
10362,22,100.0,4,3664.1,L6,T62,P4,C6
10374,22,100.0,1,3834.38,L29,T60,P4,C29
10388,21,86.77,7,1822.17,L22,T24,P4,C22
10403,66,100.0,9,11886.6,L23,T25,P4,C23
10417,56,100.0,4,9218.16,L24,T26,P4,C24
10105,50,100.0,2,7208.0,L49,T63,P5,C49
10119,46,100.0,11,5004.8,L20,T64,P5,C20
10129,33,100.0,2,4398.24,L50,T65,P5,C50
10143,49,100.0,15,5597.76,L51,T66,P5,C51
10155,32,100.0,13,4526.08,L17,T67,P5,C17
10167,44,100.0,9,5924.16,L38,T68,P5,C38
10178,24,100.0,12,3492.48,L52,T69,P5,C52
10186,26,100.0,9,3854.24,L53,T70,P5,C53
10197,45,100.0,6,5324.4,L54,T71,P5,C54
10209,39,100.0,8,5197.92,L55,T72,P5,C55
10222,49,100.0,12,5997.6,L56,T73,P5,C56
10248,20,100.0,3,2910.4,L1,T74,P5,C1
10261,27,100.0,1,3378.24,L44,T75,P5,C44
10273,30,100.0,4,3508.8,L57,T76,P5,C57
10283,25,100.0,6,2992.0,L58,T77,P5,C58
10295,24,100.0,1,3427.2,L59,T78,P5,C59
10307,22,100.0,9,2692.8,L30,T79,P5,C30
10316,33,100.0,17,4128.96,L60,T80,P5,C60
10325,47,64.93,6,3051.71,L18,T81,P5,C18
10337,25,48.05,8,1201.25,L28,T82,P5,C28
10350,26,75.47,5,1962.22,L24,T83,P5,C24
10359,48,54.68,6,2624.64,L2,T84,P5,C2
10373,39,100.0,3,4046.25,L61,T85,P5,C61
10384,34,100.0,4,4846.7,L5,T86,P5,C5
10395,32,100.0,2,3370.56,L3,T87,P5,C3
10400,64,100.0,9,9661.44,L62,T88,P5,C62
10414,19,100.0,3,2764.88,L59,T89,P5,C59
10103,42,100.0,4,5398.26,L18,T27,P6,C18
10114,31,100.0,8,4305.28,L63,T90,P6,C63
10126,22,100.0,4,3347.74,L26,T29,P6,C26
10140,26,100.0,4,3188.12,L6,T30,P6,C6
10150,20,100.0,1,3191.2,L27,T31,P6,C27
10164,21,100.0,2,3536.82,L64,T91,P6,C64
10175,33,100.0,9,5362.83,L50,T33,P6,C50
10183,28,100.0,1,3433.36,L30,T34,P6,C30
10194,26,100.0,4,4263.74,L31,T35,P6,C31
10207,31,100.0,15,4076.19,L65,T92,P6,C65
10217,48,100.0,4,7020.48,L66,T93,P6,C66
10229,50,100.0,9,6426.5,L40,T94,P6,C40
10245,28,100.0,2,4591.72,L35,T39,P6,C35
10259,26,100.0,12,4033.38,L66,T40,P6,C66
10270,32,100.0,2,4302.08,L21,T41,P6,C21
10281,44,100.0,9,7020.64,L19,T95,P6,C19
10291,30,100.0,4,3855.9,L38,T43,P6,C38
10305,38,100.0,13,6680.78,L16,T96,P6,C16
10313,40,100.0,7,6678.0,L32,T97,P6,C32
10322,46,61.99,8,2851.54,L41,T46,P6,C41
10334,26,100.0,2,3188.12,L25,T98,P6,C25
10347,27,100.0,2,4428.0,L11,T48,P6,C11
10357,43,100.0,9,5780.92,L40,T49,P6,C40
10370,35,65.63,4,2297.05,L43,T50,P6,C43
10381,37,100.0,6,6231.54,L5,T51,P6,C5
10391,37,46.9,7,1735.3,L43,T52,P6,C43
10411,27,100.0,2,4427.73,L44,T53,P6,C44
10425,38,100.0,12,5894.94,L15,T54,P6,C15
10108,33,100.0,6,5265.15,L67,T99,P7,C67
10122,42,100.0,10,7599.9,L68,T100,P7,C68
10135,42,100.0,7,8008.56,L40,T101,P7,C40
10147,48,100.0,7,9245.76,L42,T102,P7,C42
10159,41,100.0,2,8296.35,L5,T5,P7,C5
10169,30,100.0,2,5019.9,L43,T103,P7,C43
10181,27,100.0,14,5411.07,L8,T104,P7,C8
10191,21,100.0,3,3840.9,L69,T105,P7,C69
10203,20,100.0,8,3930.4,L24,T106,P7,C24
10211,41,100.0,2,7498.9,L10,T10,P7,C10
10225,27,100.0,9,4517.91,L70,T107,P7,C70
10238,28,100.0,3,5774.72,L49,T108,P7,C49
10253,24,100.0,13,3922.56,L23,T109,P7,C23
10266,44,100.0,14,9160.36,L71,T110,P7,C71
10276,50,100.0,3,9631.0,L72,T111,P7,C72
10287,21,100.0,12,3432.24,L70,T112,P7,C70
10300,33,100.0,5,5521.89,L73,T113,P7,C73
10310,33,100.0,10,6934.62,L69,T114,P7,C69
10320,31,100.0,3,6876.11,L25,T115,P7,C25
10329,41,71.47,5,2930.27,L1,T20,P7,C1
10341,45,79.65,2,3584.25,L20,T21,P7,C20
10363,33,85.39,3,2817.87,L74,T116,P7,C74
10375,45,76.0,7,3420.0,L15,T23,P7,C15
10389,26,99.04,4,2575.04,L38,T24,P7,C38
10419,12,100.0,13,1961.28,L20,T117,P7,C20
10105,41,100.0,15,8690.36,L49,T63,P8,C49
10117,33,100.0,9,6034.38,L27,T118,P8,C27
10127,46,100.0,2,11279.2,L75,T119,P8,C75
10142,33,100.0,12,8023.29,L40,T120,P8,C40
10153,20,100.0,11,4904.0,L24,T121,P8,C24
10165,44,100.0,3,8594.52,L27,T122,P8,C27
10176,33,100.0,2,7474.5,L71,T33,P8,C71
10185,21,100.0,13,3883.74,L51,T70,P8,C51
10196,47,100.0,5,8887.7,L35,T71,P8,C35
10208,46,100.0,13,8602.92,L31,T123,P8,C31
10220,32,100.0,2,7181.44,L76,T124,P8,C76
10231,42,100.0,2,8378.58,L77,T125,P8,C77
10247,44,100.0,2,10606.2,L74,T126,P8,C74
10272,35,100.0,2,5818.4,L19,T127,P8,C19
10282,41,100.0,5,7071.27,L40,T77,P8,C40
10293,46,100.0,8,8411.56,L37,T128,P8,C37
10306,31,100.0,13,6570.76,L78,T79,P8,C78
10314,38,100.0,5,7975.44,L79,T97,P8,C79
10325,42,64.0,8,2688.0,L18,T81,P8,C18
10336,33,57.22,10,1888.26,L63,T129,P8,C63
10348,48,52.36,8,2513.28,L26,T80,P8,C26
10359,42,100.0,8,4764.48,L2,T84,P8,C2
10371,32,100.0,6,3560.64,L40,T130,P8,C40
10382,34,100.0,10,3823.64,L40,T51,P8,C40
10395,33,69.12,1,2280.96,L3,T87,P8,C3
10413,36,100.0,2,8677.8,L14,T131,P8,C14
10103,27,100.0,8,3394.98,L18,T27,P9,C18
10113,21,100.0,2,3415.44,L40,T132,P9,C40
10126,21,100.0,8,2439.57,L26,T29,P9,C26
10140,38,100.0,8,4829.8,L6,T30,P9,C6
10150,30,100.0,5,4100.1,L27,T31,P9,C27
10164,49,100.0,6,6563.06,L64,T91,P9,C64
10174,43,100.0,1,6817.22,L29,T33,P9,C29
10183,41,100.0,5,6163.94,L30,T34,P9,C30
10194,38,100.0,8,4933.92,L31,T35,P9,C31
10206,28,100.0,3,4056.36,L32,T36,P9,C32
10216,43,100.0,1,5759.42,L39,T133,P9,C39
10229,25,100.0,13,3451.0,L40,T94,P9,C40
10245,38,100.0,6,5920.4,L35,T39,P9,C35
10258,41,100.0,3,6668.24,L36,T40,P9,C36
10270,28,100.0,6,4094.72,L21,T41,P9,C21
10281,25,100.0,13,2938.5,L19,T95,P9,C19
10291,41,100.0,8,6387.8,L38,T43,P9,C38
10304,39,100.0,3,6396.0,L39,T44,P9,C39
10313,21,100.0,11,2669.1,L32,T97,P9,C32
10322,27,100.0,9,4784.13,L41,T46,P9,C41
10333,33,99.21,6,3273.93,L9,T47,P9,C9
10347,29,100.0,3,3586.43,L11,T48,P9,C11
10357,49,100.0,8,5960.36,L40,T49,P9,C40
10370,49,100.0,8,8470.14,L43,T50,P9,C43
10381,20,100.0,1,2952.0,L5,T51,P9,C5
10391,39,63.2,9,2464.8,L43,T52,P9,C43
10411,40,100.0,6,6232.0,L44,T53,P9,C44
10424,49,100.0,3,7969.36,L24,T54,P9,C24
10107,21,100.0,1,3036.6,L1,T1,P10,C1
10121,50,100.0,4,8284.0,L2,T2,P10,C2
10134,20,100.0,1,2711.2,L3,T3,P10,C3
10145,49,100.0,5,8339.8,L4,T4,P10,C4
10159,38,100.0,13,6238.84,L5,T5,P10,C5
10169,35,100.0,13,4639.25,L43,T103,P10,C43
10180,40,100.0,8,6747.6,L7,T7,P10,C7
10189,28,100.0,1,4512.48,L4,T8,P10,C4
10201,25,100.0,1,4029.0,L9,T9,P10,C9
10211,36,100.0,13,4771.8,L10,T10,P10,C10
10224,43,100.0,6,6087.94,L7,T134,P10,C7
10237,32,100.0,6,4193.28,L12,T12,P10,C12
10251,46,100.0,1,7552.28,L13,T13,P10,C13
10263,48,100.0,1,6434.4,L14,T14,P10,C14
10276,43,100.0,14,5181.5,L72,T111,P10,C72
10285,49,100.0,5,6863.92,L16,T16,P10,C16
10299,24,100.0,8,4157.04,L17,T17,P10,C17
10309,26,100.0,4,4660.24,L18,T18,P10,C18
10319,30,100.0,9,4111.8,L80,T115,P10,C80
10329,24,100.0,6,3542.64,L1,T20,P10,C1
10341,55,100.0,8,8118.55,L20,T21,P10,C20
10362,22,100.0,1,3877.06,L6,T62,P10,C6
10375,49,78.92,13,3867.08,L15,T23,P10,C15
10388,44,100.0,6,5951.44,L22,T24,P10,C22
10403,66,100.0,6,8648.64,L23,T25,P10,C23
10417,21,100.0,1,3447.78,L24,T26,P10,C24
10104,34,100.0,1,5958.5,L24,T135,P11,C24
10117,43,100.0,10,5911.64,L27,T118,P11,C27
10127,46,100.0,3,7366.44,L75,T119,P11,C75
10142,33,100.0,13,4985.64,L40,T120,P11,C40
10153,42,100.0,12,5393.64,L24,T121,P11,C24
10165,34,100.0,4,4880.02,L27,T122,P11,C27
10176,47,100.0,3,8378.69,L71,T33,P11,C71
10185,33,100.0,14,4038.21,L51,T70,P11,C51
10196,24,100.0,6,3807.12,L35,T71,P11,C35
10208,26,100.0,14,3142.36,L31,T123,P11,C31
10220,30,100.0,3,4713.6,L76,T124,P11,C76
10230,43,100.0,1,7016.31,L73,T136,P11,C73
10247,25,100.0,3,4381.25,L74,T126,P11,C74
10272,27,100.0,3,4283.01,L19,T127,P11,C19
10282,27,100.0,6,4364.82,L40,T77,P11,C40
10293,24,100.0,9,4242.24,L37,T128,P11,C37
10306,34,100.0,14,4982.7,L78,T79,P11,C78
10314,46,100.0,6,6393.54,L79,T97,P11,C79
10324,27,54.33,1,1466.91,L12,T81,P11,C12
10336,33,100.0,11,4059.33,L63,T129,P11,C63
10348,47,100.0,4,4801.52,L26,T80,P11,C26
10358,49,55.34,5,2711.66,L24,T49,P11,C24
10372,40,100.0,4,5862.0,L36,T137,P11,C36
10382,37,100.0,11,4071.85,L40,T51,P11,C40
10413,47,100.0,3,8236.75,L14,T131,P11,C14
10108,45,100.0,4,6130.35,L67,T99,P12,C67
10122,37,99.82,8,3693.34,L68,T100,P12,C68
10135,48,100.0,5,6031.68,L40,T101,P12,C40
10147,31,100.0,5,3494.94,L42,T102,P12,C42
10160,46,100.0,6,5294.14,L55,T138,P12,C55
10170,47,100.0,4,5464.69,L64,T103,P12,C64
10181,28,100.0,12,2860.76,L8,T104,P12,C8
10191,40,100.0,1,5590.0,L69,T105,P12,C69
10203,20,100.0,6,2254.8,L24,T106,P12,C24
10212,39,100.0,16,4946.76,L24,T139,P12,C24
10225,25,99.82,7,2495.5,L70,T107,P12,C70
10238,29,100.0,1,3167.38,L49,T108,P12,C49
10253,22,100.0,11,2402.84,L23,T109,P12,C23
10266,22,100.0,12,2454.54,L71,T110,P12,C71
10276,47,100.0,1,5464.69,L72,T111,P12,C72
10287,45,100.0,10,4756.5,L70,T112,P12,C70
10300,29,100.0,3,3984.6,L73,T113,P12,C73
10310,24,100.0,8,3100.32,L69,T114,P12,C69
10320,35,100.0,1,4850.3,L25,T115,P12,C25
10329,46,83.63,13,3846.98,L1,T20,P12,C1
10341,44,95.93,1,4220.92,L20,T21,P12,C20
10363,34,96.73,4,3288.82,L74,T116,P12,C74
10376,35,100.0,1,3987.2,L81,T140,P12,C81
10389,25,72.38,6,1809.5,L38,T24,P12,C38
10419,10,100.0,11,1092.2,L20,T117,P12,C20
10105,29,100.0,14,4566.05,L49,T63,P13,C49
10117,39,100.0,8,5938.14,L27,T118,P13,C27
10127,42,100.0,1,8138.76,L75,T119,P13,C75
10142,46,100.0,11,9470.94,L40,T120,P13,C40
10153,49,100.0,10,7036.89,L24,T121,P13,C24
10165,27,100.0,2,5559.03,L27,T122,P13,C27
10176,50,100.0,1,7872.5,L71,T33,P13,C71
10185,43,100.0,12,7886.2,L51,T70,P13,C51
10196,38,100.0,4,7232.16,L35,T71,P13,C35
10208,20,100.0,12,3114.4,L31,T123,P13,C31
10220,27,100.0,1,5045.22,L76,T124,P13,C76
10231,49,100.0,1,6952.12,L77,T125,P13,C77
10247,27,100.0,1,4157.73,L74,T126,P13,C74
10272,39,100.0,1,7962.24,L19,T127,P13,C19
10282,24,100.0,4,3778.8,L40,T77,P13,C40
10293,45,100.0,7,8253.0,L37,T128,P13,C37
10306,20,100.0,12,3633.4,L78,T79,P13,C78
10314,36,100.0,4,6913.8,L79,T97,P13,C79
10325,24,100.0,1,2583.6,L18,T81,P13,C18
10336,49,63.38,1,3105.62,L63,T129,P13,C63
10349,26,100.0,10,4408.56,L75,T141,P13,C75
10359,49,62.09,5,3042.41,L2,T84,P13,C2
10372,34,100.0,1,5941.5,L36,T137,P13,C36
10382,34,95.35,12,3241.9,L40,T51,P13,C40
10396,33,100.0,3,6109.29,L40,T142,P13,C40
10413,22,100.0,1,3387.78,L14,T131,P13,C14
10108,39,89.38,7,3485.82,L67,T99,P14,C67
10122,32,63.84,11,2042.88,L68,T100,P14,C68
10135,24,75.01,8,1800.24,L40,T101,P14,C40
10147,21,63.84,8,1340.64,L42,T102,P14,C42
10159,24,73.42,3,1762.08,L5,T5,P14,C5
10169,36,63.84,3,2298.24,L43,T103,P14,C43
10181,20,81.4,15,1628.0,L8,T104,P14,C8
10191,30,64.64,4,1939.2,L69,T105,P14,C69
10203,44,82.99,9,3651.56,L24,T106,P14,C24
10211,28,92.57,3,2591.96,L10,T10,P14,C10
10225,37,77.41,10,2864.17,L70,T107,P14,C70
10238,20,74.21,4,1484.2,L49,T108,P14,C49
10253,25,90.17,14,2254.25,L23,T109,P14,C23
10266,35,76.61,15,2681.35,L71,T110,P14,C71
10276,38,83.79,4,3184.02,L72,T111,P14,C72
10287,41,69.43,13,2846.63,L70,T112,P14,C70
10300,22,76.61,6,1685.42,L73,T113,P14,C73
10310,49,81.4,11,3988.6,L69,T114,P14,C69
10320,38,73.42,4,2789.96,L25,T115,P14,C25
10329,33,100.0,14,3607.56,L1,T20,P14,C1
10341,36,93.56,10,3368.16,L20,T21,P14,C20
10363,34,81.62,5,2775.08,L74,T116,P14,C74
10377,24,67.83,5,1627.92,L17,T143,P14,C17
10389,36,70.26,7,2529.36,L38,T24,P14,C38
10419,34,90.17,14,3065.78,L20,T117,P14,C20
10104,41,100.0,9,4615.78,L24,T135,P15,C24
10115,46,100.0,5,5723.78,L28,T144,P15,C28
10127,24,100.0,11,2559.6,L75,T119,P15,C75
10141,21,100.0,5,2140.11,L74,T145,P15,C74
10151,24,100.0,3,3327.6,L61,T146,P15,C61
10165,48,100.0,12,6825.6,L27,T122,P15,C27
10175,26,100.0,1,3543.28,L50,T33,P15,C50
10184,37,100.0,6,4516.22,L82,T70,P15,C82
10195,49,100.0,6,6445.46,L48,T35,P15,C48
10207,34,99.54,7,3384.36,L65,T92,P15,C65
10219,48,100.0,2,4891.68,L83,T147,P15,C83
10229,36,100.0,1,4521.96,L40,T94,P15,C40
10246,46,100.0,5,5069.66,L24,T126,P15,C24
10259,46,100.0,4,6541.2,L66,T40,P15,C66
10271,31,97.17,5,3012.27,L40,T127,P15,C40
10281,41,100.0,1,5247.18,L19,T95,P15,C19
10292,21,100.0,8,2214.87,L1,T43,P15,C1
10305,38,100.0,5,4773.18,L16,T96,P15,C16
10314,45,100.0,14,6185.7,L79,T97,P15,C79
10324,26,58.38,7,1517.88,L12,T81,P15,C12
10336,38,100.0,3,6372.6,L63,T129,P15,C63
10349,48,100.0,9,5232.96,L75,T141,P15,C75
10358,42,64.16,9,2694.72,L24,T49,P15,C24
10371,49,35.71,4,1749.79,L40,T130,P15,C40
10382,32,66.58,13,2130.56,L40,T51,P15,C40
10412,54,100.0,5,5951.34,L24,T148,P15,C24
10425,33,100.0,4,4692.6,L15,T54,P15,C15
10108,36,100.0,3,3731.04,L67,T99,P16,C67
10122,20,100.0,7,2142.0,L68,T100,P16,C68
10135,29,97.89,4,2838.81,L40,T101,P16,C40
10147,33,97.89,4,3230.37,L42,T102,P16,C42
10160,50,100.0,5,5182.0,L55,T138,P16,C55
10170,41,100.0,3,4391.1,L64,T103,P16,C64
10181,36,100.0,11,4477.32,L8,T104,P16,C8
10192,27,100.0,16,3544.56,L41,T105,P16,C41
10203,47,100.0,5,5195.85,L24,T106,P16,C24
10212,33,100.0,15,4180.44,L24,T139,P16,C24
10225,21,100.0,6,2684.43,L70,T107,P16,C70
10239,21,93.28,5,1958.88,L61,T149,P16,C61
10253,41,100.0,10,4910.57,L23,T109,P16,C23
10266,40,100.0,11,4468.4,L71,T110,P16,C71
10277,28,100.0,1,3127.88,L27,T150,P16,C27
10287,23,100.0,9,2675.13,L70,T112,P16,C70
10300,23,100.0,2,2807.61,L73,T113,P16,C73
10310,25,100.0,7,2504.75,L69,T114,P16,C69
10321,24,100.0,15,2984.88,L22,T46,P16,C22
10329,39,64.74,15,2524.86,L1,T20,P16,C1
10341,55,75.2,7,4136.0,L20,T21,P16,C20
10363,46,88.45,6,4068.7,L74,T116,P16,C74
10377,50,100.0,1,5182.0,L17,T143,P16,C17
10389,47,100.0,8,5243.79,L38,T24,P16,C38
10405,97,93.28,5,9048.16,L84,T151,P16,C84
10419,32,100.0,10,3832.64,L20,T117,P16,C20
10103,35,100.0,10,3920.0,L18,T27,P17,C18
10113,49,100.0,4,4916.66,L40,T132,P17,C40
10126,38,100.0,10,3857.0,L26,T29,P17,C26
10140,32,100.0,10,4181.44,L6,T30,P17,C6
10150,34,100.0,7,4641.0,L27,T31,P17,C27
10164,36,99.17,8,3570.12,L64,T91,P17,C64
10174,48,93.34,3,4480.32,L29,T33,P17,C29
10183,21,96.84,7,2033.64,L30,T34,P17,C30
10194,21,93.34,10,1960.14,L31,T35,P17,C31
10206,34,100.0,5,3966.78,L32,T36,P17,C32
10215,46,100.0,2,5152.0,L33,T37,P17,C33
10228,32,100.0,1,3360.0,L34,T38,P17,C34
10245,29,100.0,8,3451.0,L35,T39,P17,C35
10258,41,100.0,5,5453.0,L36,T40,P17,C36
10270,43,96.84,8,4164.12,L21,T41,P17,C21
10280,24,100.0,1,2800.08,L37,T42,P17,C37
10291,41,100.0,10,4687.94,L38,T43,P17,C38
10304,46,98.0,5,4508.0,L39,T44,P17,C39
10312,32,100.0,2,4181.44,L40,T45,P17,C40
10322,22,100.0,10,2251.04,L41,T46,P17,C41
10333,29,40.25,7,1167.25,L9,T47,P17,C9
10347,42,49.6,5,2083.2,L11,T48,P17,C11
10357,39,98.0,1,3822.0,L40,T49,P17,C40
10370,27,100.0,1,3911.49,L43,T50,P17,C43
10381,48,98.0,2,4704.0,L5,T51,P17,C5
10391,29,85.1,10,2467.9,L43,T52,P17,C43
10411,27,100.0,8,3213.0,L44,T53,P17,C44
10424,54,100.0,5,7182.0,L24,T54,P17,C24
10109,26,100.0,4,4379.18,L46,T152,P18,C46
10122,34,100.0,2,5004.8,L68,T100,P18,C68
10136,25,100.0,2,3644.75,L52,T153,P18,C52
10148,23,100.0,13,2702.04,L43,T154,P18,C43
10161,28,100.0,12,3764.88,L79,T155,P18,C79
10171,35,100.0,2,4508.0,L44,T156,P18,C44
10181,44,100.0,6,5418.16,L8,T104,P18,C8
10192,22,100.0,11,3300.66,L41,T105,P18,C41
10204,42,100.0,17,6182.4,L75,T106,P18,C75
10212,29,100.0,10,4186.73,L24,T139,P18,C24
10225,32,100.0,1,4529.28,L70,T107,P18,C70
10240,41,100.0,3,5628.89,L45,T157,P18,C45
10253,26,100.0,5,3054.48,L23,T109,P18,C23
10266,21,100.0,6,2526.51,L71,T110,P18,C71
10278,34,100.0,6,4667.86,L85,T158,P18,C85
10287,41,100.0,4,6499.32,L70,T112,P18,C70
10301,37,100.0,8,5917.78,L86,T159,P18,C86
10310,37,100.0,2,6231.91,L69,T114,P18,C69
10321,41,100.0,10,5803.14,L22,T46,P18,C22
10331,46,100.0,6,6434.02,L46,T160,P18,C46
10342,40,100.0,2,6454.4,L11,T21,P18,C11
10356,43,97.6,8,4196.8,L3,T161,P18,C3
10365,30,87.06,1,2611.8,L51,T162,P18,C51
10377,35,100.0,2,5895.05,L17,T143,P18,C17
10390,36,93.77,14,3375.72,L40,T163,P18,C40
10406,61,100.0,3,8374.69,L49,T164,P18,C49
10419,38,100.0,5,4464.24,L20,T117,P18,C20
10102,39,100.0,2,4808.31,L12,T165,P19,C12
10111,33,99.66,6,3288.78,L9,T166,P19,C9
10125,32,100.0,1,3254.72,L11,T167,P19,C11
10139,31,100.0,7,3184.94,L21,T168,P19,C21
10149,50,100.0,4,5907.5,L83,T169,P19,C83
10162,48,91.44,2,4389.12,L5,T170,P19,C5
10173,43,100.0,6,5036.16,L87,T156,P19,C87
10182,25,87.33,3,2183.25,L40,T104,P19,C40
10193,28,100.0,7,3106.88,L88,T171,P19,C88
10205,36,100.0,2,3735.72,L24,T172,P19,C24
10215,27,89.38,10,2413.26,L33,T37,P19,C33
10227,25,100.0,3,2953.75,L31,T173,P19,C31
10244,40,100.0,7,4684.8,L24,T174,P19,C24
10256,34,95.55,2,3248.7,L49,T175,P19,C49
10280,50,100.0,9,5239.5,L37,T42,P19,C37
10289,38,100.0,2,4567.98,L8,T176,P19,C8
10304,37,95.55,13,3535.35,L39,T44,P19,C39
10312,43,89.38,10,3843.34,L40,T45,P19,C40
10322,43,86.3,14,3710.9,L41,T46,P19,C41
