ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,LOCATION_ID
"12, rue des Bouchers",,Marseille,,13008,France,EMEA,L68
Mehrheimerstr. 369,,Koln,,50739,Germany,EMEA,L69
Grenzacherweg 237,,Gensve,,1203,Switzerland,EMEA,L70
Strada Provinciale 124,,Reggio Emilia,,42100,Italy,EMEA,L71
7635 Spinnaker Dr.,,Brickhaven,MA,58339,USA,,L72
Lyonerstr. 34,,Frankfurt,,60528,Germany,EMEA,L73
"Software Engineering Center, SEC Oy",,Espoo,,FIN-02271,Finland,EMEA,L74
4092 Furth Circle,Suite 400,NYC,NY,10022,USA,,L75
25 Maiden Lane,Floor No. 4,Dublin,,2,Ireland,EMEA,L76
"Merchants House, 27-30 Merchant's Quay",,Madrid,,28023,Spain,EMEA,L77
Fauntleroy Circus,,Manchester,,EC2 5NT,UK,EMEA,L78
Smagsloget 45,,Aaarhus,,8200,Denmark,EMEA,L79
5290 North Pendale Street,Suite 200,NYC,NY,10022,USA,,L80
4097 Douglas Av.,,Glendale,CA,92561,USA,,L81
"C/ Romero, 33",,Sevilla,,41101,Spain,EMEA,L82
2793 Furth Circle,,Brisbane,CA,94217,USA,,L83
"24, place Kluber",,Strasbourg,,67000,France,EMEA,L84
8489 Strong St.,,Las Vegas,NV,83030,USA,,L85
"Drammensveien 126 A, PB 744 Sentrum",,Oslo,,N 0106,Norway,EMEA,L86
Via Ludovico il Moro 22,,Bergamo,,24100,Italy,EMEA,L87
7 Allen Street,,Glen Waverly,Victoria,3150,Australia,APAC,L88
2440 Pompton St.,,Glendale,CT,97561,USA,,L89
Hansastr. 15,,Munich,,80686,Germany,EMEA,L90
"Boulevard Tirou, 255",,Charleroi,,B-6000,Belgium,EMEA,L91
16780 Pompton St.,,Brickhaven,MA,58339,USA,,L92
